679.0,89.0,26.0,2.0,9.0,3.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,62.0
506.0,68.0,8.0,14.0,4.0,3.0,7.0,9.0,3.0,2.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,231.0
267.0,37.0,27.0,18.0,9.0,27.0,20.0,12.0,14.0,12.0,10.0,9.0,9.0,6.0,7.0,9.0,12.0,13.0,9.0,353.0
172.0,48.0,23.0,12.0,40.0,26.0,19.0,20.0,13.0,12.0,11.0,13.0,11.0,8.0,11.0,13.0,15.0,10.0,6.0,397.0
173.0,34.0,13.0,47.0,32.0,23.0,22.0,14.0,13.0,12.0,16.0,12.0,8.0,11.0,14.0,15.0,10.0,6.0,6.0,399.0
157.0,35.0,57.0,36.0,27.0,23.0,14.0,14.0,12.0,16.0,13.0,10.0,12.0,14.0,15.0,10.0,6.0,6.0,9.0,394.0
153.0,75.0,39.0,29.0,26.0,14.0,16.0,16.0,16.0,15.0,12.0,13.0,14.0,15.0,10.0,6.0,6.0,9.0,10.0,386.0
202.0,54.0,32.0,28.0,17.0,16.0,17.0,16.0,15.0,12.0,13.0,14.0,15.0,10.0,6.0,6.0,9.0,10.0,11.0,377.0
200.0,47.0,43.0,21.0,18.0,22.0,17.0,17.0,14.0,13.0,14.0,15.0,11.0,7.0,7.0,9.0,10.0,11.0,2.0,382.0
197.0,66.0,31.0,21.0,24.0,17.0,18.0,16.0,14.0,14.0,16.0,11.0,7.0,7.0,10.0,10.0,11.0,2.0,10.0,378.0
212.0,63.0,30.0,27.0,19.0,19.0,16.0,14.0,15.0,18.0,11.0,7.0,7.0,10.0,10.0,11.0,2.0,10.0,13.0,366.0
205.0,65.0,33.0,23.0,26.0,20.0,16.0,16.0,20.0,14.0,7.0,7.0,10.0,10.0,11.0,2.0,10.0,14.0,11.0,360.0
226.0,55.0,29.0,31.0,21.0,19.0,17.0,22.0,14.0,7.0,8.0,11.0,10.0,11.0,3.0,10.0,14.0,11.0,7.0,354.0
214.0,66.0,42.0,29.0,20.0,18.0,22.0,17.0,7.0,8.0,11.0,10.0,12.0,3.0,10.0,14.0,11.0,8.0,4.0,354.0
224.0,74.0,35.0,28.0,19.0,25.0,19.0,8.0,9.0,11.0,10.0,12.0,3.0,10.0,14.0,11.0,8.0,4.0,7.0,349.0
233.0,68.0,38.0,23.0,33.0,20.0,8.0,10.0,12.0,11.0,13.0,3.0,11.0,14.0,11.0,8.0,4.0,7.0,5.0,348.0
241.0,60.0,34.0,40.0,26.0,11.0,11.0,13.0,11.0,13.0,5.0,12.0,14.0,12.0,9.0,4.0,8.0,5.0,6.0,345.0
246.0,66.0,49.0,30.0,13.0,12.0,15.0,12.0,13.0,5.0,12.0,14.0,12.0,9.0,6.0,8.0,5.0,6.0,17.0,330.0
240.0,89.0,41.0,21.0,13.0,15.0,13.0,13.0,5.0,12.0,15.0,12.0,9.0,6.0,8.0,7.0,6.0,17.0,7.0,331.0
